plotReactions    0    0    0    0    
plotReactions    9    0    0    0    
plotReactions    19    0    0    0    
plotReactions    29    0    0    0    
plotReactions    39    0    0    0    
plotReactions    49    0    0    0    
plotReactions    59    0    0    0    
plotReactions    69    0    0    0    
plotReactions    79    0    0    0    
plotReactions    89    0    0    0    
plotReactions    99    1    1    1    
plotReactions    109    2    2    1    
plotReactions    119    2    2    1    
plotReactions    129    3    3    1    
plotReactions    139    4    1    1    
plotReactions    149    3    0    1    
plotReactions    159    3    0    1    
plotReactions    169    4    1    2    
plotReactions    179    3    3    2    
plotReactions    189    4    3    2    
plotReactions    199    4    3    2    
plotReactions    209    4    3    2    
plotReactions    219    4    3    2    
plotReactions    229    5    3    2    
plotReactions    239    5    4    2    
plotReactions    249    6    5    2    
plotReactions    259    6    5    2    
plotReactions    269    6    5    2    
plotReactions    279    6    6    2    
plotReactions    289    6    6    2    
plotReactions    299    6    6    2    
plotReactions    309    6    3    1    
plotReactions    319    5    3    3    
plotReactions    329    5    3    3    
plotReactions    339    5    3    3    
plotReactions    349    5    3    3    
plotReactions    359    6    5    3    
plotReactions    369    5    3    3    
plotReactions    379    5    3    4    
plotReactions    389    5    5    4    
plotReactions    399    6    5    4    
plotReactions    409    6    5    4    
plotReactions    419    6    5    4    
plotReactions    429    5    7    4    
plotReactions    439    8    5    3    
plotReactions    449    9    6    3    
plotReactions    459    9    6    3    
plotReactions    469    9    6    4    
plotReactions    479    9    6    4    
plotReactions    489    9    6    4    
plotReactions    499    9    8    5    
plotReactions    509    11    8    5    
plotReactions    519    10    9    5    
plotReactions    529    11    11    5    
plotReactions    539    11    12    6    
plotReactions    549    11    12    6    
plotReactions    559    12    12    6    
plotReactions    569    11    13    6    
plotReactions    579    12    15    6    
plotReactions    589    12    11    5    
plotReactions    599    12    11    5    
plotReactions    609    12    12    6    
plotReactions    619    14    12    6    
plotReactions    629    14    12    6    
plotReactions    639    14    12    6    
plotReactions    649    14    14    7    
plotReactions    659    15    15    7    
plotReactions    669    16    16    7    
plotReactions    679    16    17    7    
plotReactions    689    17    17    7    
plotReactions    699    18    17    7    
plotReactions    709    17    18    7    
plotReactions    719    17    20    7    
plotReactions    729    17    18    7    
plotReactions    739    17    17    7    
plotReactions    749    16    14    6    
plotReactions    759    17    14    6    
plotReactions    769    17    14    6    
plotReactions    779    18    17    7    
plotReactions    789    18    17    7    
plotReactions    799    19    17    7    
plotReactions    809    19    18    7    
plotReactions    819    19    18    7    
plotReactions    829    18    19    8    
plotReactions    839    18    20    8    
plotReactions    849    20    20    8    
plotReactions    859    21    19    7    
plotReactions    869    21    19    7    
plotReactions    879    21    20    7    
plotReactions    889    22    21    7    
plotReactions    899    22    21    7    
plotReactions    909    20    20    7    
plotReactions    919    19    21    8    
plotReactions    929    19    21    8    
plotReactions    939    19    21    9    
plotReactions    949    19    21    9    
plotReactions    959    19    21    10    
plotReactions    969    19    21    10    
plotReactions    979    20    22    10    
plotReactions    989    19    21    10    
plotReactions    999    17    24    10    
plotReactions    1009    19    24    11    
plotReactions    1019    19    24    11    
plotReactions    1029    20    25    11    
plotReactions    1039    22    25    11    
plotReactions    1049    23    25    11    
plotReactions    1059    24    26    11    
plotReactions    1069    24    28    11    
plotReactions    1079    23    26    10    
plotReactions    1089    24    26    10    
plotReactions    1099    23    24    10    
plotReactions    1109    22    25    10    
plotReactions    1119    24    27    11    
plotReactions    1129    26    28    12    
plotReactions    1139    26    25    12    
plotReactions    1149    27    25    12    
plotReactions    1159    27    25    12    
plotReactions    1169    27    25    13    
plotReactions    1179    26    26    13    
plotReactions    1189    27    26    13    
plotReactions    1199    27    27    13    
plotReactions    1209    28    27    13    
plotReactions    1219    30    29    13    
plotReactions    1229    30    32    14    
plotReactions    1239    32    32    14    
plotReactions    1249    33    33    14    
plotReactions    1259    33    35    14    
plotReactions    1269    33    37    14    
plotReactions    1279    32    33    12    
plotReactions    1289    32    31    14    
plotReactions    1299    31    31    13    
plotReactions    1309    31    31    14    
plotReactions    1319    32    32    16    
plotReactions    1329    32    32    17    
plotReactions    1339    36    36    17    
plotReactions    1349    36    34    17    
plotReactions    1359    39    35    17    
plotReactions    1369    39    36    17    
plotReactions    1379    38    37    18    
plotReactions    1389    39    39    18    
plotReactions    1399    38    37    17    
plotReactions    1409    38    36    17    
plotReactions    1419    39    36    18    
plotReactions    1429    39    35    18    
plotReactions    1439    41    34    18    
plotReactions    1449    40    36    21    
plotReactions    1459    43    37    21    
plotReactions    1469    46    39    21    
plotReactions    1479    48    41    21    
