plotSimpleBonds    899    12    6    5    9    0    1    0    1    0    
plotSimpleBonds    909    10    8    7    7    0    3    0    3    0    
plotSimpleBonds    919    10    8    7    7    1    2    1    2    0    
plotSimpleBonds    929    10    8    7    7    1    2    1    2    0    
plotSimpleBonds    939    10    8    6    7    2    2    1    2    0    
plotSimpleBonds    949    10    8    6    7    2    2    1    2    0    
plotSimpleBonds    959    10    8    6    7    3    1    2    1    0    
plotSimpleBonds    969    10    8    6    7    3    1    2    1    0    
plotSimpleBonds    979    10    8    6    8    4    0    3    0    0    
plotSimpleBonds    989    10    10    8    7    4    0    3    0    0    
plotSimpleBonds    999    10    10    8    7    4    0    1    0    0    
plotSimpleBonds    1009    14    10    6    8    3    0    1    0    0    
plotSimpleBonds    1019    14    10    5    9    3    0    0    0    0    
plotSimpleBonds    1029    16    10    4    10    2    0    0    0    0    
plotSimpleBonds    1039    18    8    4    11    1    0    0    0    0    
plotSimpleBonds    1049    18    8    4    11    1    0    0    0    0    
plotSimpleBonds    1059    18    8    4    12    1    0    0    0    0    
plotSimpleBonds    1069    18    7    4    12    1    0    0    0    0    
plotSimpleBonds    1079    16    9    6    10    1    2    0    2    0    
plotSimpleBonds    1089    16    9    6    10    1    2    0    2    0    
plotSimpleBonds    1099    14    11    8    8    1    4    0    4    0    
plotSimpleBonds    1109    14    11    8    8    1    4    0    4    0    
plotSimpleBonds    1119    14    10    8    9    2    3    1    3    0    
plotSimpleBonds    1129    16    10    7    10    2    2    1    2    0    
plotSimpleBonds    1139    14    14    9    10    2    2    1    2    1    
plotSimpleBonds    1149    14    13    9    11    2    2    1    2    1    
plotSimpleBonds    1159    14    13    8    11    3    2    1    2    1    
plotSimpleBonds    1169    16    12    8    11    3    1    2    1    1    
plotSimpleBonds    1179    16    12    8    11    3    1    1    1    1    
plotSimpleBonds    1189    18    12    7    12    2    1    1    1    1    
plotSimpleBonds    1199    18    12    7    12    3    0    1    0    1    
